restaurant,sensitiment_score
비야게레로,"(76.0, 28.0, 0.3684210526315789)"
빽찐라면,"(29.0, 8.0, 0.27586206896551724)"
뽀르께노스페니쉬비스트로,"(38.0, 1.0, 0.02631578947368421)"
사대부집곳간,"(177.0, 30.0, 0.1694915254237288)"
사이공리,"(102.0, 19.0, 0.18627450980392157)"
산동꾸냥,"(11.0, 4.0, 0.36363636363636365)"
산수갑산,"(78.0, 22.0, 0.28205128205128205)"
산울림1992,"(203.0, 31.0, 0.15270935960591134)"
산이네회무침,"(43.0, 10.0, 0.23255813953488372)"
삼거리먼지막순대국,"(161.0, 33.0, 0.20496894409937888)"
삼성원조양곱창,"(53.0, 21.0, 0.39622641509433965)"
삼우치킨센타,"(49.0, 0.0, 0.0)"
상아탑즉석떡볶이,"(16.0, 2.0, 0.125)"
서관면옥,"(171.0, 30.0, 0.17543859649122806)"
서보,"(64.0, 6.0, 0.09375)"
서울뼈구이매운족발,"(80.0, 17.0, 0.2125)"
서울역철도떡볶이,"(34.0, 3.0, 0.08823529411764706)"
서울콩비지,"(60.0, 6.0, 0.1)"
서호김밥,"(139.0, 30.0, 0.2158273381294964)"
섬집,"(115.0, 24.0, 0.20869565217391303)"
성균관감자탕,"(19.0, 1.0, 0.05263157894736842)"
성북동돼지갈비,"(109.0, 30.0, 0.27522935779816515)"
성원식품,"(37.0, 4.0, 0.10810810810810811)"
소각,"(59.0, 5.0, 0.0847457627118644)"
소공바지락칼국수,"(42.0, 7.0, 0.16666666666666666)"
소금집델리,"(122.0, 31.0, 0.2540983606557377)"
소랑도,"(32.0, 6.0, 0.1875)"
소문난왕족발순대국,"(49.0, 7.0, 0.14285714285714285)"
소바마에,"(70.0, 10.0, 0.14285714285714285)"
소바식당,"(77.0, 24.0, 0.3116883116883117)"
손국수집,"(33.0, 6.0, 0.18181818181818182)"
송화산시도삭면,"(106.0, 18.0, 0.16981132075471697)"
수정옥돌생소금구이,"(107.0, 29.0, 0.27102803738317754)"
수제비먹는닭갈비,"(37.0, 3.0, 0.08108108108108109)"
순대일번지,"(118.0, 27.0, 0.2288135593220339)"
순희네빈대떡,"(91.0, 25.0, 0.27472527472527475)"
스마일닭강정,"(16.0, 6.0, 0.375)"
스시미치루,"(68.0, 3.0, 0.04411764705882353)"
스킬렛 스테이크하우스,"(84.0, 10.0, 0.11904761904761904)"
신김치생삼겹살,"(83.0, 16.0, 0.1927710843373494)"
신매콤터분식,"(19.0, 9.0, 0.47368421052631576)"
신세계떡볶이,"(70.0, 16.0, 0.22857142857142856)"
쌤쌤쌤,"(129.0, 7.0, 0.05426356589147287)"
안동집 손칼국시,"(126.0, 21.0, 0.16666666666666666)"
야끼소바니주마루,"(86.0, 22.0, 0.2558139534883721)"
양송이식당,"(42.0, 8.0, 0.19047619047619047)"
어머니 대성집,"(144.0, 29.0, 0.2013888888888889)"
어항로,"(62.0, 19.0, 0.3064516129032258)"
엄용백돼지국밥,"(138.0, 32.0, 0.2318840579710145)"
엉터리통닭,"(100.0, 30.0, 0.3)"
